y,ds
110.75505752368363,2013-01-01
113.09695101735278,2013-01-02
115.85052505331613,2013-01-03
119.12830644584743,2013-01-04
122.6002935622311,2013-01-05
126.47964217427106,2013-01-06
101.65506139342752,2013-01-07
112.81514101529687,2013-01-08
112.3206250535536,2013-01-09
118.21372814688556,2013-01-10
119.33078981951505,2013-01-11
125.1863228151975,2013-01-12
128.14541415861987,2013-01-13
101.96106199194483,2013-01-14
111.61116266870168,2013-01-15
111.00529560472025,2013-01-16
113.72899633411934,2013-01-17
121.64006277154698,2013-01-18
123.84955994219797,2013-01-19
127.44277629678695,2013-01-20
103.55578984179742,2013-01-21
110.3967947774521,2013-01-22
110.82659983502957,2013-01-23
112.5327715184369,2013-01-24
121.77286576075603,2013-01-25
125.12137826309467,2013-01-26
129.13033039993326,2013-01-27
101.92285170776707,2013-01-28
110.96957470720736,2013-01-29
110.03760774602443,2013-01-30
112.46209130027454,2013-01-31
127.60273664669808,2013-02-01
135.3162762713049,2013-02-02
137.68030723890652,2013-02-03
107.60661915241619,2013-02-04
117.29349838714269,2013-02-05
119.83580909988359,2013-02-06
123.91503347912344,2013-02-07
125.38099608064348,2013-02-08
129.6679186778844,2013-02-09
138.0411417035815,2013-02-10
110.25323131192604,2013-02-11
117.66909628088969,2013-02-12
118.72251772418925,2013-02-13
121.5403849215426,2013-02-14
129.00358038187127,2013-02-15
134.12186367052587,2013-02-16
136.07753408563423,2013-02-17
107.35012225014347,2013-02-18
118.55311380913979,2013-02-19
116.88266345942405,2013-02-20
122.83117951924712,2013-02-21
128.68627141603918,2013-02-22
130.10931179687904,2013-02-23
137.5899810350087,2013-02-24
107.53338380840825,2013-02-25
117.73728459903437,2013-02-26
118.21372814688556,2013-02-27
121.14102255497752,2013-02-28
142.60709010740328,2013-03-01
147.60144077561662,2013-03-02
151.26756656507737,2013-03-03
120.47308486491472,2013-03-04
130.73781675802024,2013-03-05
132.29867489913158,2013-03-06
133.4752024304251,2013-03-07
140.27958921710075,2013-03-08
146.3154061824432,2013-03-09
149.72523956397933,2013-03-10
118.51920996388546,2013-03-11
129.5415868694259,2013-03-12
132.980831271608,2013-03-13
133.3208680396308,2013-03-14
140.75345340196913,2013-03-15
144.61550924189117,2013-03-16
150.84817775327235,2013-03-17
120.54001084193959,2013-03-18
129.88876426898838,2013-03-19
130.64369427279402,2013-03-20
136.98659639051814,2013-03-21
141.84443364806833,2013-03-22
146.43008430552862,2013-03-23
149.64074884295547,2013-03-24
119.63400450400184,2013-03-25
133.5368964684066,2013-03-26
131.3639290040775,2013-03-27
138.3412649022898,2013-03-28
140.3388918515406,2013-03-29
146.74508114623418,2013-03-30
150.2875438728461,2013-03-31
134.7966697398426,2013-04-01
142.7241338765641,2013-04-02
142.22616869055483,2013-04-03
148.9351762426682,2013-04-04
152.43696057166125,2013-04-05
158.583961568211,2013-04-06
161.57399522052438,2013-04-07
130.6123081304575,2013-04-08
143.97756599328906,2013-04-09
141.2260515762237,2013-04-10
151.29549289354662,2013-04-11
155.00125841556903,2013-04-12
157.18036347717305,2013-04-13
168.1713282637106,2013-04-14
128.97187740963284,2013-04-15
142.7241338765641,2013-04-16
141.19655107351628,2013-04-17
148.34043194883884,2013-04-18
153.59925280623855,2013-04-19
159.30886168009408,2013-04-20
165.56275857005485,2013-04-21
130.76917895151072,2013-04-22
143.80319071644482,2013-04-23
140.07187271597874,2013-04-24
147.65839076424578,2013-04-25
154.12275583734575,2013-04-26
158.7721518351202,2013-04-27
166.13374204837146,2013-04-28
130.95722670426574,2013-04-29
141.52078738743873,2013-04-30
149.47165333094597,2013-05-01
155.3843582213689,2013-05-02
160.64437634105406,2013-05-03
166.90984412739675,2013-05-04
171.9113448916936,2013-05-05
134.94966033668203,2013-05-06
148.65220097212034,2013-05-07
147.68685920156452,2013-05-08
152.74205117913627,2013-05-09
161.7594077759778,2013-05-10
165.12046660806774,2013-05-11
169.4508265279124,2013-05-12
134.88848065760953,2013-05-13
149.52803542004392,2013-05-14
148.96345022492386,2013-05-15
155.2202648266575,2013-05-16
158.55706271666642,2013-05-17
166.72901130750466,2013-05-18
169.5273514130246,2013-05-19
138.1312331280785,2013-05-20
145.39539142646922,2013-05-21
147.28790256034256,2013-05-22
153.9025063993702,2013-05-23
160.37798266804418,2013-05-24
165.82249081892374,2013-05-25
170.21484011951515,2013-05-26
134.82727890329087,2013-05-27
150.3717450513748,2013-05-28
149.72523956397933,2013-05-29
154.58995551641112,2013-05-30
159.84413449265588,2013-05-31
168.91437863040755,2013-06-01
180.5656087836375,2013-06-02
140.1015615027673,2013-06-03
153.07432468993963,2013-06-04
154.2327865855322,2013-06-05
160.2179770720727,2013-06-06
166.5997492143627,2013-06-07
170.7987368213865,2013-06-08
174.74277070570045,2013-06-09
140.27958921710075,2013-06-10
157.04487574953816,2013-06-11
155.05603311945498,2013-06-12
157.91039558912647,2013-06-13
163.89271359634859,2013-06-14
171.07742971561117,2013-06-15
177.5134809252163,2013-06-16
139.02959069337928,2013-06-17
152.0757707316164,2013-06-18
152.3258978928826,2013-06-19
159.5766769364672,2013-06-20
164.02367369625946,2013-06-21
170.9254603325472,2013-06-22
177.68550456077156,2013-06-23
141.3734806014427,2013-06-24
152.18697878069472,2013-06-25
154.50759029847737,2013-06-26
160.88382999249626,2013-06-27
165.5107731334618,2013-06-28
168.68405612162462,2013-06-29
179.25217754854046,2013-06-30
144.0356537418924,2013-07-01
158.2609349763555,2013-07-02
159.1480001837562,2013-07-03
164.755515786086,2013-07-04
170.34190994109363,2013-07-05
177.48889526280982,2013-07-06
179.95848965239404,2013-07-07
144.90474402007035,2013-07-08
158.47634433546787,2013-07-09
156.66501364798054,2013-07-10
165.84844620618773,2013-07-11
170.5196808069485,2013-07-12
177.3905254309662,2013-07-13
181.29200866328878,2013-07-14
146.6305991732115,2013-07-15
158.28787391944,2013-07-16
157.20744985750798,2013-07-17
163.44682388004745,2013-07-18
172.69179151687263,2013-07-19
177.56264410217673,2013-07-20
180.8080007929577,2013-07-21
146.3440824198559,2013-07-22
159.04068716848514,2013-07-23
160.37798266804418,2013-07-24
167.81167591443912,2013-07-25
173.01823951560775,2013-07-26
179.73952636237732,2013-07-27
181.5819190482063,2013-07-28
146.28672547016808,2013-07-29
158.47634433546787,2013-07-30
160.45793777679566,2013-07-31
153.62684101598134,2013-08-01
159.71045033033877,2013-08-02
164.18071588033257,2013-08-03
169.37427407517757,2013-08-04
133.4752024304251,2013-08-05
145.6833927926545,2013-08-06
145.07806450583203,2013-08-07
155.8212672728762,2013-08-08
158.53016022842405,2013-08-09
164.3114929549809,2013-08-10
172.01220633699046,2013-08-11
135.3162762713049,2013-08-12
145.30890243076541,2013-08-13
148.90689798583566,2013-08-14
152.38143729130113,2013-08-15
159.5766769364672,2013-08-16
164.1545505000199,2013-08-17
171.60847696841242,2013-08-18
137.40918696428054,2013-08-19
147.80068928822732,2013-08-20
145.19351998519875,2013-08-21
152.29812214466068,2013-08-22
158.6377483675757,2013-08-23
167.27104200382453,2013-08-24
169.16999918100942,2013-08-25
135.3162762713049,2013-08-26
148.68051779463266,2013-08-27
149.47165333094597,2013-08-28
153.37840486208796,2013-08-29
159.28206042117625,2013-08-30
165.01626060458057,2013-08-31
164.6250199454618,2013-09-01
131.45764128663058,2013-09-02
145.88472436646748,2013-09-03
142.51925708651487,2013-09-04
149.66891663665476,2013-09-05
152.74205117913627,2013-09-06
156.9906545754078,2013-09-07
164.206877937028,2013-09-08
131.05117012668083,2013-09-09
143.7450282155768,2013-09-10
142.8411013077939,2013-09-11
145.99967173097414,2013-09-12
152.82517349808415,2013-09-13
157.3428260242223,2013-09-14
165.43277056237022,2013-09-15
130.17227081210686,2013-09-16
141.04897492634902,2013-09-17
140.98991005565676,2013-09-18
149.95036277224725,2013-09-19
155.2202648266575,2013-09-20
159.54991153290717,2013-09-21
163.13149355806684,2013-09-22
132.23652200544225,2013-09-23
143.19154718225118,2013-09-24
142.46067779934242,2013-09-25
149.4152543014563,2013-09-26
152.7974700603144,2013-09-27
157.39695051207053,2013-09-28
165.43277056237022,2013-09-29
131.5200866474486,2013-09-30
135.28575512623073,2013-10-01
138.37124873547654,2013-10-02
142.60709010740328,2013-10-03
146.143254706553,2013-10-04
153.21260254074633,2013-10-05
155.2202648266575,2013-10-06
126.18956389367334,2013-10-07
136.199021135771,2013-10-08
138.16125321702586,2013-10-09
142.0500847287886,2013-10-10
145.25122032785046,2013-10-11
152.35366960779675,2013-10-12
155.08341469173226,2013-10-13
125.12137826309467,2013-10-14
138.16125321702586,2013-10-15
136.32042205824564,2013-10-16
141.60911292066115,2013-10-17
144.44174715927772,2013-10-18
153.01898568440035,2013-10-19
156.17553851974625,2013-10-20
126.12503008287055,2013-10-21
136.13828838903862,2013-10-22
137.7404985285181,2013-10-23
141.84443364806833,2013-10-24
146.45874266609104,2013-10-25
150.56806861204083,2013-10-26
154.58995551641112,2013-10-27
124.013192293687,2013-10-28
137.92094699423046,2013-10-29
138.25128236691603,2013-10-30
141.52078738743873,2013-10-31
151.7417572500952,2013-11-01
157.39695051207053,2013-11-02
163.42056487922656,2013-11-03
131.33267976441562,2013-11-04
143.16236943958154,2013-11-05
139.47704172873185,2013-11-06
147.14520940394388,2013-11-07
155.24762332061283,2013-11-08
162.05042864296445,2013-11-09
164.1545505000199,2013-11-10
129.25698161210514,2013-11-11
142.07944411506847,2013-11-12
142.10879867419465,2013-11-13
147.91444961875425,2013-11-14
153.15730333338013,2013-11-15
159.76393469225025,2013-11-16
166.0559728476486,2013-11-17
133.16639145874723,2013-11-18
145.53944881802838,2013-11-19
142.54853954559027,2013-11-20
147.11665755135493,2013-11-21
151.7138963614086,2013-11-22
158.3148092098339,2013-11-23
162.3674316204403,2013-11-24
130.07782320658126,2013-11-25
143.5413117814239,2013-11-26
144.2968182265051,2013-11-27
147.00240599636186,2013-11-28
150.82018548424995,2013-11-29
156.58351912725684,2013-11-30
136.13828838903862,2013-12-01
111.75334084344293,2013-12-02
117.87356728753463,2013-12-03
117.19089683295779,2013-12-04
122.3690617543722,2013-12-05
125.73727484039921,2013-12-06
132.4229110962789,2013-12-07
131.95654605323503,2013-12-08
104.19576844691437,2013-12-09
117.39602875736733,2013-12-10
120.40612935442566,2013-12-11
123.68575568178326,2013-12-12
126.5762175247231,2013-12-13
130.17227081210686,2013-12-14
136.0471488424266,2013-12-15
110.36091779453575,2013-12-16
115.22772526518803,2013-12-17
117.66909628088969,2013-12-18
122.8970836460747,2013-12-19
127.3787474684799,2013-12-20
133.25909449386413,2013-12-21
137.10744226498875,2013-12-22
109.20792743345609,2013-12-23
117.70319435931277,2013-12-24
118.92554948129863,2013-12-25
122.83117951924712,2013-12-26
124.43783605013304,2013-12-27
131.61371051946722,2013-12-28
132.39186073700552,2013-12-29
107.8991663726171,2013-12-30
118.14575817431574,2013-12-31
117.56675495492976,2014-01-01
125.21878505567011,2014-01-02
131.2076236484162,2014-01-03
134.91907325493898,2014-01-04
137.04702992282174,2014-01-05
109.06312475824038,2014-01-06
120.00377371394913,2014-01-07
118.55311380913979,2014-01-08
127.15444486347025,2014-01-09
128.84500353216896,2014-01-10
131.83196060074377,2014-01-11
136.86566565902734,2014-01-12
110.8623572605172,2014-01-13
119.2633256868006,2014-01-14
118.68865229718695,2014-01-15
122.33600030818752,2014-01-16
130.17227081210686,2014-01-17
134.2447562740977,2014-01-18
137.86081838266531,2014-01-19
112.00180807929135,2014-01-20
118.85790282103478,2014-01-21
119.09453265013198,2014-01-22
125.02391118993913,2014-01-23
130.8318854082905,2014-01-24
136.83541969459606,2014-01-25
137.65020374315665,2014-01-26
109.64142518169595,2014-01-27
122.23677336503756,2014-01-28
121.10769516625943,2014-01-29
124.99140874895623,2014-01-30
129.066967757254,2014-01-31
143.80319071644482,2014-02-01
148.79374217080942,2014-02-02
115.6086415162361,2014-02-03
126.73704647061984,2014-02-04
126.73704647061984,2014-02-05
130.58091599164277,2014-02-06
138.70073045789033,2014-02-07
143.16236943958154,2014-02-08
149.35883831506828,2014-02-09
114.77625928267547,2014-02-10
126.83346604201542,2014-02-11
126.18956389367334,2014-02-12
132.73309695144096,2014-02-13
135.7429989799678,2014-02-14
140.93082548919304,2014-02-15
145.62582879432,2014-02-16
118.14575817431574,2014-02-17
127.05821887568118,2014-02-18
126.86559295850802,2014-02-19
132.11214648726107,2014-02-20
138.64087102795716,2014-02-21
140.1312452846999,2014-02-22
145.33773664815806,2014-02-23
116.67681566659435,2014-02-24
131.05117012668083,2014-02-25
129.5415868694259,2014-02-26
130.48670355916443,2014-02-27
135.37730214277047,2014-02-28
158.85275041508612,2014-03-01
165.01626060458057,2014-03-02
129.79415273218197,2014-03-03
143.01640967331582,2014-03-04
